S	Spring 2017	ARTH 001Q 01	Art History	ARTH	001Q	01	FYS: Caravaggio (W)	1	TTH 01:15pm-02:30pm	Beardsley 318|Beardsley 318	T|TH	01:15pm|01:15pm	BEARDS|BEARDS	318|318		Downey, E		CRN: 26091 ENR LIM: 12 CUR ENR: 5 DIST: HU, W	http://www.swarthmore.edu/cc_art.xml#ARTH_001Q	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 005 01	Art History	ARTH	005	01	Modern Art	1	MWF 09:30am-10:20am	Beardsley 316|Beardsley 316|Beardsley 316	M|W|F	09:30am|09:30am|09:30am	BEARDS|BEARDS|BEARDS	316|316|316		Hungerford, C		CRN: 26087 ENR LIM: 30 CUR ENR: 26 DIST: HU	http://www.swarthmore.edu/cc_art.xml#ARTH_005	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 006 01	Art History	ARTH	006	01	Contemporary Art	1	TTH 11:20am-12:35pm	Beardsley 316|Beardsley 316	T|TH	11:20am|11:20am	BEARDS|BEARDS	316|316		Feliz, M		CRN: 26086 ENR LIM: 30 CUR ENR: 9 DIST: HU	http://www.swarthmore.edu/cc_art.xml#ARTH_006	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 024 01	Art History	ARTH	024	01	Visualizing Africa/Ren Europe	1	W 01:15pm-04:00pm	Beardsley 318	W	01:15pm	BEARDS	318		Downey, E		CRN: 26089 ENR LIM: 12 CUR ENR: 9 DIST: HU	http://www.swarthmore.edu/cc_art.xml#ARTH_024	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 032 01	Art History	ARTH	032	01	Arts of Jpns Tea Culture (W)	1	TTH 08:30am-09:45am	Beardsley 318|Beardsley 318	T|TH	08:30am|08:30am	BEARDS|BEARDS	318|318		Sakomura, T		CRN: 24988 ENR LIM: 15 CUR ENR: 17 DIST: HU, W<br>Eligible for ASIA program.	http://www.swarthmore.edu/cc_art.xml#ARTH_032	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 077 01	Art History	ARTH	077	01	Photography, Race/ID American	1	TTH 09:55am-11:10am	Beardsley 316|Beardsley 316	T|TH	09:55am|09:55am	BEARDS|BEARDS	316|316		Feliz, M		CRN: 26090 ENR LIM: 30 CUR ENR: 14 DIST: HU	http://www.swarthmore.edu/cc_art.xml#ARTH_077	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 078 01	Art History	ARTH	078	01	Museum Matters:Pract,Thry,Cont	1	F 02:15pm-05:00pm	Beardsley 318	F	02:15pm	BEARDS	318		Downey, E		CRN: 26361 ENR LIM: 35 CUR ENR: 1	http://www.swarthmore.edu/cc_art.xml#ARTH_078	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 095 01	Art History	ARTH	095	01	Cracking Visual Codes (W)	1	TTH 11:20am-12:35pm	Beardsley 318|Beardsley 318	T|TH	11:20am|11:20am	BEARDS|BEARDS	318|318		Sakomura, T		CRN: 24989 ENR LIM: 18 CUR ENR: 16 DIST: HU, W	http://www.swarthmore.edu/cc_art.xml#ARTH_095	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 096 01	Art History	ARTH	096	01	Dir Rdg:	1								Sakomura, T		CRN: 25919 ENR LIM: 5 CUR ENR: 1<br>Credit range .5-1. See Dept Admin Asst to register.	http://www.swarthmore.edu/cc_art.xml#ARTH_096	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ASTR 001 01	Astronomy	ASTR	001	01	Introductory Astronomy	1	MWF 09:30am-10:20am	Science Center 128|Science Center 128|Science Center 128	M|W|F	09:30am|09:30am|09:30am	SCI|SCI|SCI	128|128|128		Grocholski, A		CRN: 25719 ENR LIM: 40 CUR ENR: 38 DIST: NS, NSEP<br>Students must register for one lab section below.	http://www.swarthmore.edu/cc_astro.xml#ASTR_001	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 001 TA	Astronomy	ASTR	001	TA	Introductory Astronomy- Lab	0	T 08:00pm-11:00pm	Science Center 187	T	08:00pm	SCI	187	LAB T 08:00pm SCI 187	Neat, A		CRN: 25721 ENR LIM: 12 CUR ENR: 14	http://www.swarthmore.edu/cc_astro.xml#ASTR_001	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 001 TB	Astronomy	ASTR	001	TB	Introductory Astronomy- Lab	0	T 08:00pm-11:00pm	Science Center 187	T	08:00pm	SCI	187	LAB T 08:00pm SCI 187	Neat, A		CRN: 25850 ENR LIM: 12 CUR ENR: 6	http://www.swarthmore.edu/cc_astro.xml#ASTR_001	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 001 WA	Astronomy	ASTR	001	WA	Introductory Astronomy- Lab	0	W 08:00pm-11:00pm	Science Center 187	W	08:00pm	SCI	187	LAB W 08:00pm SCI 187	Grocholski, A		CRN: 25720 ENR LIM: 12 CUR ENR: 11	http://www.swarthmore.edu/cc_astro.xml#ASTR_001	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 001 WB	Astronomy	ASTR	001	WB	Introductory Astronomy- Lab	0	W 08:00pm-11:00pm	Science Center 187	W	08:00pm	SCI	187	LAB W 08:00pm SCI 187	Grocholski, A		CRN: 25849 ENR LIM: 12 CUR ENR: 7	http://www.swarthmore.edu/cc_astro.xml#ASTR_001	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 001A 01	Astronomy	ASTR	001A	01	Introductory Astronomy II	1	MWF 11:30am-12:20pm	Science Center 128|Science Center 128|Science Center 128	M|W|F	11:30am|11:30am|11:30am	SCI|SCI|SCI	128|128|128		Grocholski, A		CRN: 26171 ENR LIM: 40 CUR ENR: 8 DIST: NS<br>Prerequisite ASTR 001.	http://www.swarthmore.edu/cc_astro.xml#ASTR_001A	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 061 01	Astronomy	ASTR	061	01	Current Prob-Astr&Astrophys	.5	F 11:30am-12:20pm	Science Center 113	F	11:30am	SCI	113		Cohen, D		CRN: 24137 ENR LIM: 12 CUR ENR: 6<br>Prerequisite: ASTR 016.	http://www.swarthmore.edu/cc_astro.xml#ASTR_061	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
S	Spring 2017	ASTR 093 A	Astronomy	ASTR	093	A	Directed Reading	1										CRN: 25722 ENR LIM: 10 CUR ENR: 0<br>See Dept Admin Asst to register.	http://www.swarthmore.edu/cc_astro.xml#ASTR_093	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/NatSci/physics/	Department Homepage
